SE No.,Book Title,Author,Publication Year,Original Language,Genre,No. of Words,Time,Reading Ease (no.),Reading Ease (Category),Translated By,Illustrated by,Part of a Series,Cover Page Artwork Adapted from,Cover Page Artwork Completed in,Cover Page Artist,Typefaces (on the cover and the title pages),Typefaces created by,Release Date and Time (on Standard Ebooks),Download (or Read Online)
0000093,"Pablo de Segovia the Spanish Sharper",Francisco de Quevedo,1626,Spanish,Fiction,"61,713",3 hours 45 minutes,64.88,Average difficulty,Pedro Pineda,,No,Portrait of a Man,1650,Diego Velázquez,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 4, 2017, 12:36 a.m.",Download
0000094,A Strange Manuscript Found in a Copper Cylinder,James De Mille,1888,English,Science Fiction,"87,210",5 hours 18 minutes,69.92,Fairly easy,,,No,Agathaumas,1897,Charles R. Knight,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 1, 2017, 10:46 p.m.",Download
0000095,Zuleika Dobson,Max Beerbohm,1911,English,"Fiction, Satire","81,913",4 hours 58 minutes,74.49,Fairly easy,,,No,The Wyndham Sisters,1899,John Singer Sargent,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 3, 2017, 12:13 a.m.",Download
0000096,Sons and Lovers,D. H. Lawrence,1913,English,Fiction,"164,407",9 hours 58 minutes,85.99,Easy,,,No,Madame Manet at Bellevue,1880,Édouard Manet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 6, 2017, 7:42 p.m.",Download
0000097,Dead Souls,Nikolai Gogol,1842,Russian,Fiction,"142,420",8 hours 38 minutes,66.88,Average difficulty,C. J. Hogarth,,No,The Abolition of Serfdom in Russia,1914,Alphonse Mucha,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 3, 2017, 3:57 p.m.",Download
0000098,A Room With a View,E. M. Forster,1908,English,Fiction,"68,039",4 hours 8 minutes,76.22,Fairly easy,,,No,"Florence, the Boboli Gardens",1835,Jean-Baptiste-Camille Corot,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 3, 2017, 7:51 p.m.",Download
0000099,Sartor Resartus,Thomas Carlyle,1833,English,"Fiction, Satire","80,386",4 hours 53 minutes,48.47,Difficult,,,No,Portrait of Thomas Carlyle,1844,John Linnell,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 13, 2017, 5:04 p.m.",Download
0000100,Scaramouche,Rafael Sabatini,1921,English,Fiction,"130,957",7 hours 57 minutes,73.68,Fairly easy,,,No,Soldier Playing the Theorbo,1865,Ernest Meissonier,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 14, 2017, 9:49 p.m.",Download
0000101,The Magnificent Ambersons,Booth Tarkington,1918,English,Fiction,"103,587",6 hours 17 minutes,71.14,Fairly easy,,,Yes,The Hatch Family,1871,Eastman Johnson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 15, 2017, 3:40 a.m.",Download
0000102,Gitanjali,Rabindranath Tagore,1910,Bengali,"Fiction, Poetry, Spirituality","14,605",54 minutes,77.27,Fairly easy,Rabindranath Tagore,,No,Bharat Mata,1905,Abanindranath Tagore,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 25, 2017, 4:22 p.m.",Download
0000103,Lost Face,Jack London,1910,English,"Fiction, Shorts","41,550",2 hours 32 minutes,82.24,Easy,,,No,"The Rocky Mountains, Lander’s Peak",1863,Albert Bierstadt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 1, 2017, 7:42 p.m.",Download
0000104,The Wonderful Adventures of Nils,Selma Lagerlöf,1906,Swedish,"Children’s, Fiction","156,160",9 hours 28 minutes,79.09,Easy,Velma Swanston Howard,,No,Det Gamla Slottet,1893,Prince Eugen,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 1, 2017, 9:39 p.m.",Download
0000105,The Cosmic Computer,H. Beam Piper,1963,English,Science Fiction,"65,679",3 hours 59 minutes,74.19,Fairly easy,,,Yes,Bild 100 (Segelboote),1914,Jacoba van Heemskerck,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 5, 2017, 10:08 p.m.",Download
0000106,The Red Room,August Strindberg,1879,Swedish,Fiction,"101,056",6 hours 8 minutes,72.36,Fairly easy,Ellie Schleussner,,No,Portrait of August Strindberg,1905,Richard Bergh,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 7, 2017, 8:10 p.m.",Download
0000107,The Riddle of the Sands,Erskine Childers,1903,English,Fiction,"110,623",6 hours 43 minutes,70.73,Fairly easy,,,No,Regatta at Sainte-Adresse,1867,Claude Monet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 10, 2017, 2:58 a.m.",Download
0000108,The Sorrows of Young Werther,J. W. von Goethe,1774,German,Fiction,"42,647",2 hours 36 minutes,68.91,Average difficulty,R. D. Boylan,,No,"Self Portrait, 1809",1809,Orest Adamovich Kiprenskiĭ,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 20, 2017, 6:58 p.m.",Download
0000109,Little Fuzzy,H. Beam Piper,1962,English,Science Fiction,"60,725",3 hours 41 minutes,74.39,Fairly easy,,,Yes,Exotic Landscape,1910,Henri Rousseau,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 20, 2017, 7:24 p.m.",Download
0000110,Master Flea,E. T. A. Hoffmann,1822,German,Fantasy,"46,526",2 hours 50 minutes,63.53,Average difficulty,George Soane,,No,Portrait of Antonie van Leeuwenhoek,1673,Jan Verkolje,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 24, 2017, 8:46 p.m.",Download
0000111,Vanity Fair,William Makepeace Thackeray,1847,English,Fiction,"308,451",18 hours 42 minutes,66.57,Average difficulty,,,No,A Woman of Ambition,1885,James Tissot,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 8, 2017, 5:21 a.m.",Download
0000112,No Name,Wilkie Collins,1862,English,Fiction,"268,989",16 hours 19 minutes,71.95,Fairly easy,,,No,Retrospection,1880,Thomas Eakins,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 24, 2017, 9:00 p.m.",Download
0000113,Crime and Punishment,Fyodor Dostoevsky,1866,Russian,Fiction,"207,733",12 hours 36 minutes,73.78,Fairly easy,Constance Garnett,,No,Self-Portrait with Burning Cigarette,1895,Edvard Munch,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 26, 2017, 8:30 p.m.",Download
0000114,The Wisdom of Father Brown,G. K. Chesterton,1914,English,"Fiction, Mystery, Shorts","72,690",4 hours 25 minutes,68.6,Average difficulty,,,Yes,Windflowers,1912,Gaines Ruger Donoho,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 7, 2017, 9:51 p.m.",Download
0000115,The Woman in White,Wilkie Collins,1859,English,Fiction,"249,621",15 hours 8 minutes,69.82,Fairly easy,,,No,"Symphony in White, No. 1: The White Girl",1862,James Abbott McNeill Whistler,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 18, 2017, 10:59 p.m.",Download
0000116,Poetry,T. S. Eliot,1915,English,Poetry,"10,241",38 minutes,68.6,Average difficulty,,,No,The Poet,1912,Pablo Picasso,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 20, 2017, 9:36 p.m.",Download
0000117,Alice Adams,Booth Tarkington,1921,English,Fiction,"88,367",5 hours 22 minutes,81.93,Easy,,,No,House at Rueil,1882,Édouard Manet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 21, 2017, 3:47 a.m.",Download
0000118,Something New,P. G. Wodehouse,1915,English,"Comedy, Fiction","76,458",4 hours 39 minutes,74.49,Fairly easy,,,No,Eton College from Windsor,1910,Ernest William Haslehust,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 28, 2017, 10:25 p.m.",Download
0000119,The Invisible Man,H. G. Wells,1897,English,Science Fiction,"49,572",3 hours 1 minute,74.69,Fairly easy,,,No,Village in the Snow,1894,Paul Gauguin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 5, 2017, 8:56 p.m.",Download
0000120,Silas Marner,George Eliot,1861,English,Fiction,"73,454",4 hours 28 minutes,62.01,Average difficulty,,,No,Man Smoking a Pipe,1859,James McNeill Whistler,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 10, 2017, 9:44 p.m.",Download
0000121,The Communist Manifesto,"Karl Marx",1848,German,Philosophy,"13,204",49 minutes,38.05,Very difficult,Samuel Moore,,No,The Song of the Lark,1884,Jules Breton,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 19, 2017, 1:55 a.m.",Download
0000122,The Island of Doctor Moreau,H. G. Wells,1896,English,Science Fiction,"43,955",2 hours 40 minutes,72.36,Fairly easy,,,No,Cannon Rock,1895,Winslow Homer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 19, 2017, 5:54 p.m.",Download
0000123,Kim,Rudyard Kipling,1901,English,"Adventure, Fiction","106,723",6 hours 29 minutes,82.85,Easy,,,No,The Chitpore Road,1867,William Simpson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 19, 2017, 7:44 p.m.",Download
0000124,Poetry,John Keats,1816,English,Poetry,"96,435",5 hours 51 minutes,69.75,Fairly easy,,,No,John Keats in His Study at Hampstead,1821-23,Joseph Severn,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 19, 2017, 9:59 p.m.",Download
0000125,The Pit-Prop Syndicate,Freeman Wills Crofts,1922,English,Fiction,"97,438",5 hours 55 minutes,71.85,Fairly easy,,,No,View of the Seine,1883,Georges Seurat,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 25, 2017, 4:55 p.m.",Download
0000126,Through the Looking-Glass,Lewis Carroll,1871,English,"Children’s, Fantasy","30,719",1 hour 52 minutes,81.53,Easy,,John Tenniel,Yes,The Studio Mirror,1916,Charles Martin Hardie,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 31, 2017, 12:52 a.m.",Download
0000127,Parnassus on Wheels,Christopher Morley,1917,English,Fiction,"36,831",2 hours 14 minutes,82.24,Easy,,,No,"A Cowherd at Valhermeil, Auvers-sur-Oise",1874,Camille Pissarro,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 2, 2017, 9:43 p.m.",Download
0000128,Bleak House,Charles Dickens,1853,English,Fiction,"359,519",21 hours 48 minutes,71.24,Fairly easy,,,No,The Writing Master,1882,Thomas Eakins,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 5, 2017, 1:41 a.m.",Download
0000129,Captain Blood,Rafael Sabatini,1922,English,"Adventure, Fiction","115,074",6 hours 59 minutes,72.56,Fairly easy,,,No,Captain Keitt,1907,Howard Pyle,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 9, 2017, 11:25 p.m.",Download
0000130,Peter and Wendy,J. M. Barrie,1911,English,"Children’s, Fantasy","47,666",2 hours 54 minutes,81.12,Easy,,,No,Landscape with the Fall of Icarus,1558,Pieter Bruegel the Elder,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 22, 2017, 11:04 p.m.",Download
0000131,The Works of Max Beerbohm,Max Beerbohm,1896,English,"Satire, Shorts","32,809",2 hours,69.82,Fairly easy,,,No,Bal du moulin de la Galette,1876,Auguste Renoir,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 27, 2017, 9:47 p.m.",Download
0000132,The Moonstone,Wilkie Collins,1868,English,Fiction,"198,527",12 hours 2 minutes,72.36,Fairly easy,,,No,Study for “Portrait of an Indian”,1807,Anne Louis Girodet-Trioson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 2, 2017, 4:36 a.m.",Download
0000133,Sonnets from the Portuguese,Elizabeth Barrett Browning,1850,English,Poetry,"5,166",19 minutes,82.07,Easy,,,No,Venus and Mars United by Love,1570-79,Paolo Veronese,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 2, 2017, 7:47 p.m.",Download
0000134,Uncle Silas,J. Sheridan Le Fanu,1864,English,Mystery,"167,050",10 hours 8 minutes,70.13,Fairly easy,,,No,Study of an Old Man with a Gold Chain,1632,Rembrandt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 6, 2017, 8:37 p.m.",Download
0000135,The Life and Adventures of Robinson Crusoe,Daniel Defoe,1719,English,Fiction,"121,271",7 hours 21 minutes,44.99,Difficult,,,No,Crusoe,1899,John Charles Dollman,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 9, 2017, 6:37 p.m.",Download
0000136,Love Among the Chickens,P. G. Wodehouse,1921,English,"Comedy, Fiction","51,549",3 hours 8 minutes,76.11,Fairly easy,,,No,Young Husband: First Marketing,1854,Lilly Martin Spencer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 11, 2017, 2:32 a.m.",Download
0000137,Short Fiction,Nikolai Gogol,1831,Russian,"Fiction, Shorts","173,914",10 hours 33 minutes,70.33,Fairly easy,"Claud Field, Isabel F. Hapgood, Vizetelly and Company, George Tolstoy",,No,Reply of the Zaporozhian Cossacks,1891,Ilya Repin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 20, 2017, 5:05 p.m.",Download
0000138,Nightmare Abbey,Thomas Love Peacock,1818,English,Fiction,"26,494",1 hour 37 minutes,60.55,Average difficulty,,,No,Vanitas Still Life,1670,Pieter van der Willigen,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 20, 2017, 9:11 p.m.",Download
0000139,This Side of Paradise,F. Scott Fitzgerald,1920,English,Fiction,"83,590",5 hours 4 minutes,72.26,Fairly easy,,,No,F. Ambrose Clark,1904,Robert Henri,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 22, 2017, 6:53 p.m.",Download
0000140,The Hound of the Baskervilles,Arthur Conan Doyle,1902,English,"Fiction, Mystery","59,649",3 hours 37 minutes,80.92,Easy,,,Yes,Riesengebirgslandschaft mit aufsteigendem Nebel,1820,Caspar David Friedrich,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 26, 2017, 11:14 p.m.",Download
0000141,In a Glass Darkly,J. Sheridan Le Fanu,1872,English,"Horror, Mystery, Shorts","113,539",6 hours 53 minutes,68.81,Average difficulty,,,No,Still Life with Glass and Porcelain Bowl,1662,Willem Kalf,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 29, 2017, 12:46 a.m.",Download
0000142,The Thirty-Nine Steps,John Buchan,1915,English,"Adventure, Fiction","41,580",2 hours 32 minutes,80.62,Easy,,,Yes,Wandering Shadows,1878,Peter Graham,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 3, 2018, 1:20 a.m.",Download
0000143,Flatland,Edwin A. Abbott,1884,English,Fiction,"33,608",2 hours 3 minutes,52.12,Fairly difficult,,,No,Rotterdam,1914,Edward Wadsworth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 4, 2018, 11:03 p.m.",Download
0000144,Phantastes,George MacDonald,1858,English,Fantasy,"69,194",4 hours 12 minutes,74.22,Fairly easy,,,No,Pelleas and Melisande,1910,Edmund Blair Leighton,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 7, 2018, 10:10 p.m.",Download
0000145,Short Fiction,Vsevolod Garshin,1879,Russian,"Fiction, Shorts","114,559",6 hours 57 minutes,74.19,Fairly easy,Rowland Smith,,No,Vsevolod Mikhailovich Garshin,1884,Ilya Repin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 16, 2018, 11:32 p.m.",Download
0000146,The Warden,Anthony Trollope,1855,English,Fiction,"72,776",4 hours 25 minutes,64.14,Average difficulty,,,Yes,Last Muster,1875,Hubert von Herkomer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 17, 2018, 12:32 a.m.",Download
0000147,Barchester Towers,Anthony Trollope,1857,English,Fiction,"200,355",12 hours 9 minutes,71.14,Fairly easy,,,Yes,Worcester Cathedral,1894,Benjamin Williams Leader,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 2, 2018, 5:22 a.m.",Download
0000148,"The Sketchbook of Geoffrey Crayon, Gent.",Washington Irving,1819,English,"Fantasy, Shorts","125,602",7 hours 37 minutes,48.98,Difficult,,,No,The Headless Horseman Pursuing Ichabod Crane,1858,John Quidor,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 12, 2018, 6:10 a.m.",Download
0000149,Three Lives,Gertrude Stein,1909,English,Fiction,"87,146",5 hours 17 minutes,76.45,Fairly easy,,,No,The Artist’s Wife with a Fan,1888,Paul Cézanne,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 28, 2018, 9:29 p.m.",Download
0000150,The Inferno,August Strindberg,1898,French,Fiction,"45,988",2 hours 48 minutes,69.52,Fairly easy,Claud Field,,No,August Strindberg,1893,Christian Krohg,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 20, 2018, 9:53 p.m.",Download
0000151,Emma,Jane Austen,1815,English,Fiction,"160,834",9 hours 45 minutes,71.04,Fairly easy,,,No,Rica,1894,Frederick Goodall,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 21, 2018, 12:17 a.m.",Download
0000152,The Story of Gösta Berling,Selma Lagerlöf,1891,Swedish,Fiction,"129,335",7 hours 51 minutes,82.04,Easy,Pauline Bancroft Flach,,No,Friends,1907,Hanna Hirsch-Pauli,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 23, 2018, 10:49 p.m.",Download
0000153,Legends of Vancouver,E. Pauline Johnson,1911,English,"Nonfiction, Shorts","28,687",1 hour 45 minutes,66.57,Average difficulty,,,No,"Pine Island, Georgian Bay",1916,Tom Thomson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 26, 2018, 5:23 p.m.",Download
0000154,Moby Dick,Herman Melville,1851,English,Fiction,"213,525",12 hours 57 minutes,64.64,Average difficulty,,,No,The Flying Dutchman,1887,Albert Pinkham Ryder,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 27, 2018, 10:02 p.m.",Download
0000155,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",Maurice Leblanc,1907,French,"Fiction, Shorts","54,189",3 hours 18 minutes,74.49,Fairly easy,George Morehead,,Yes,Chez Tortoni,1880,Édouard Manet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 27, 2018, 11:44 p.m.",Download
0000156,Just So Stories,Rudyard Kipling,1902,English,"Children’s, Fiction, Shorts","34,302",2 hours 5 minutes,77.98,Fairly easy,,,No,How the Camel Got His Hump,1912,Joseph M. Gleeson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 28, 2018, 8:27 p.m.",Download
0000157,Of Human Bondage,W. Somerset Maugham,1915,English,Fiction,"264,742",16 hours 3 minutes,72.26,Fairly easy,,,No,Portrait of Fyodor Shalyapin,1905,Konstantin Korovin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 29, 2018, 8:48 p.m.",Download
0000158,The Enchanted Castle,E. Nesbit,1907,English,"Children’s, Fiction","70,501",4 hours 17 minutes,82.54,Easy,,,No,May Night,1906,Willard Metcalf,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 2, 2018, 3:44 a.m.",Download
0000159,The Madman,Khalil Gibran,1918,English,Shorts,"7,093",26 minutes,78.89,Fairly easy,,,No,The Prophet Zechariah,1888,James Tissot,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 2, 2018, 8:52 p.m.",Download
0000160,Short Fiction,H. P. Lovecraft,1905,English,"Horror, Shorts","213,495",12 hours 57 minutes,53.44,Fairly difficult,,,No,The Sacred Grove,1882,Arnold Böcklin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 3, 2018, 10:53 p.m.",Download
